,open,high,low,close,volume
2025-08-29 14:20:00,232.33,232.43,231.97,232.3,344089.0
2025-08-29 14:25:00,232.3,232.34,232.14,232.18,130627.0
2025-08-29 14:30:00,232.19,232.415,232.17,232.3157,146037.0
2025-08-29 14:35:00,232.3101,232.395,232.195,232.2009,146219.0
2025-08-29 14:40:00,232.21,232.265,232.08,232.1182,161025.0
2025-08-29 14:45:00,232.13,232.27,232.1169,232.18,243726.0
2025-08-29 14:50:00,232.18,232.2,232.0,232.11,205443.0
2025-08-29 14:55:00,232.09,232.175,232.05,232.15,148927.0
2025-08-29 15:00:00,232.1499,232.5299,232.1102,232.48,261379.0
2025-08-29 15:05:00,232.475,232.75,232.47,232.6601,225798.0
2025-08-29 15:10:00,232.67,232.68,232.38,232.44,300658.0
2025-08-29 15:15:00,232.43,232.55,232.4114,232.55,203102.0
2025-08-29 15:20:00,232.55,232.62,232.425,232.475,200565.0
2025-08-29 15:25:00,232.47,232.5225,232.3,232.3543,190282.0
2025-08-29 15:30:00,232.36,232.56,232.33,232.515,298857.0
2025-08-29 15:35:00,232.525,232.66,232.2501,232.64,283975.0
2025-08-29 15:40:00,232.66,232.8377,232.6001,232.7003,395752.0
2025-08-29 15:45:00,232.7,232.73,232.27,232.335,367812.0
2025-08-29 15:50:00,232.33,232.47,231.57,231.721,815314.0
2025-08-29 15:55:00,231.71,232.28,231.48,232.27,2514975.0
2025-08-29 16:00:00,232.27,232.86,232.1,232.14,15519322.0
2025-08-29 16:05:00,232.23,232.24,232.14,232.17,10436.0
2025-08-29 16:10:00,232.19,232.24,232.06,232.14,117393.0
2025-08-29 16:15:00,232.16,232.16,231.89,232.08,9625.0
2025-08-29 16:20:00,232.14,232.14,231.8947,232.0006,29675.0
2025-08-29 16:25:00,232.05,232.05,231.9,231.95,6733.0
2025-08-29 16:30:00,231.98,232.13,231.9,232.07,2215.0
2025-08-29 16:35:00,232.04,232.13,231.9,232.01,2548.0
2025-08-29 16:40:00,232.01,232.13,232.01,232.13,596.0
2025-08-29 16:45:00,232.08,232.14,232.0,232.13,27129.0
2025-08-29 16:50:00,232.0,232.14,232.0,232.02,4926.0
2025-08-29 16:55:00,232.14,232.14,221.3802,232.06,15606.0
2025-08-29 17:00:00,232.0999,232.1,232.0,232.04,6626.0
2025-08-29 17:05:00,232.1,232.1,232.04,232.1,157.0
2025-08-29 17:10:00,222.3216,232.1,216.3137,232.04,1664.0
2025-08-29 17:15:00,232.04,236.5208,219.3378,232.14,9951.0
2025-08-29 17:20:00,232.0988,242.3546,216.3137,232.0902,8813.0
2025-08-29 17:25:00,232.1,232.11,220.6299,232.11,6331.0
2025-08-29 17:30:00,232.11,232.14,232.0,232.13,371.0
2025-08-29 17:35:00,232.06,232.13,232.0,232.0273,959.0
2025-08-29 17:40:00,232.05,232.14,232.0,232.11,615.0
2025-08-29 17:45:00,232.13,232.14,232.0,232.0055,843.0
2025-08-29 17:50:00,232.0,232.14,204.7775,232.101,411.0
2025-08-29 17:55:00,232.1,232.15,232.1,232.14,340.0
2025-08-29 18:00:00,232.11,232.2,232.1,232.14,748.0
2025-08-29 18:05:00,232.1011,232.2,232.1,232.19,3555.0
2025-08-29 18:10:00,232.12,232.2,232.0,232.09,1407.0
2025-08-29 18:15:00,232.09,232.1742,232.0,232.0017,2105.0
2025-08-29 18:20:00,232.07,232.07,232.0,232.07,1372.0
2025-08-29 18:25:00,232.02,232.07,232.0,232.0115,789.0
2025-08-29 18:30:00,232.03,232.07,232.01,232.03,289.0
2025-08-29 18:35:00,232.02,232.1,232.01,232.07,822.0
2025-08-29 18:40:00,232.1,232.14,232.01,232.03,1730.0
2025-08-29 18:45:00,232.1,232.14,232.01,232.0977,211.0
2025-08-29 18:50:00,232.02,232.1,232.01,232.03,1195.0
2025-08-29 18:55:00,232.03,232.1,232.02,232.0999,422.0
2025-08-29 19:00:00,232.1,232.14,232.02,232.1,753.0
2025-08-29 19:05:00,232.04,232.15,232.0212,232.1485,1028.0
2025-08-29 19:10:00,232.03,232.15,232.02,232.08,876.0
2025-08-29 19:15:00,232.02,232.15,232.02,232.1,197.0
2025-08-29 19:20:00,232.08,232.14,232.08,232.08,858.0
2025-08-29 19:25:00,232.12,232.12,232.08,232.08,96.0
2025-08-29 19:30:00,232.08,232.1,232.07,232.08,1505.0
2025-08-29 19:35:00,232.06,232.1,232.0212,232.04,1545.0
2025-08-29 19:40:00,232.04,232.07,232.01,232.01,1878.0
2025-08-29 19:45:00,232.01,232.07,231.909,231.9099,3659.0
2025-08-29 19:50:00,231.91,232.0,231.91,231.94,2440.0
2025-08-29 19:55:00,231.98,232.1,231.98,232.03,5270.0
