,1. open,2. high,3. low,4. close,5. volume
2025-08-27 15:45:00,230.5550,230.7600,230.4500,230.7482,897953
2025-08-27 15:40:00,230.3550,230.5766,230.3550,230.5500,350408
2025-08-27 15:35:00,230.3300,230.4200,230.2101,230.3600,254394
2025-08-27 15:30:00,230.1250,230.3799,230.1200,230.3400,424762
2025-08-27 15:25:00,230.0400,230.1600,230.0000,230.1325,229145
2025-08-27 15:20:00,230.0484,230.1250,229.9750,230.0500,164878
2025-08-27 15:15:00,229.7700,230.0800,229.7601,230.0550,189893
2025-08-27 15:10:00,230.0400,230.0400,229.7200,229.7500,281953
2025-08-27 15:05:00,230.0600,230.1100,229.9700,230.0450,200613
2025-08-27 15:00:00,230.1550,230.1550,230.0450,230.0700,138826
2025-08-27 14:55:00,230.1050,230.1950,230.0800,230.1500,149167
2025-08-27 14:50:00,230.2300,230.2900,230.0923,230.1100,144944
2025-08-27 14:45:00,230.2350,230.3200,230.2100,230.2250,154526
2025-08-27 14:40:00,230.4400,230.4799,230.2350,230.2400,149823
2025-08-27 14:35:00,230.4150,230.4750,230.3150,230.4322,226893
2025-08-27 14:30:00,230.6200,230.6350,230.3950,230.4100,225628
2025-08-27 14:25:00,230.5017,230.6800,230.4800,230.6250,407239
2025-08-27 14:20:00,230.2600,230.5700,230.2100,230.5000,334198
2025-08-27 14:15:00,230.2600,230.3250,230.1600,230.2601,183257
2025-08-27 14:10:00,230.0382,230.3300,229.8900,230.2516,256455
2025-08-27 14:05:00,229.9500,230.0600,229.9100,230.0310,110407
2025-08-27 14:00:00,229.9800,230.0750,229.9300,229.9401,132624
2025-08-27 13:55:00,230.0600,230.0700,229.9700,229.9900,98232
2025-08-27 13:50:00,229.9900,230.0750,229.8900,230.0600,189823
2025-08-27 13:45:00,229.9800,230.0600,229.9300,229.9800,139490
2025-08-27 13:40:00,229.9200,229.9900,229.8500,229.9750,149535
2025-08-27 13:35:00,229.8600,229.9600,229.8550,229.9300,123845
2025-08-27 13:30:00,229.8500,229.9200,229.8000,229.8550,143782
2025-08-27 13:25:00,229.9850,229.9950,229.8000,229.8400,132716
2025-08-27 13:20:00,229.8899,230.0000,229.8500,229.9883,107766
2025-08-27 13:15:00,229.9900,230.0300,229.8450,229.8700,161574
2025-08-27 13:10:00,230.0500,230.0900,229.9600,229.9916,167064
2025-08-27 13:05:00,229.8302,230.0600,229.8200,230.0550,156666
2025-08-27 13:00:00,229.7700,229.8700,229.6700,229.8400,217599
2025-08-27 12:55:00,229.8698,229.8850,229.7800,229.7800,157562
2025-08-27 12:50:00,229.8350,229.8950,229.7900,229.8600,162094
2025-08-27 12:45:00,229.6600,229.8350,229.6000,229.8350,132916
2025-08-27 12:40:00,229.7300,229.8600,229.6500,229.6601,144485
2025-08-27 12:35:00,229.8000,229.8800,229.6600,229.7350,176644
2025-08-27 12:30:00,229.8900,229.9882,229.8000,229.8000,201554
2025-08-27 12:25:00,229.7650,229.9000,229.6800,229.8900,177647
2025-08-27 12:20:00,229.7950,229.8600,229.7400,229.7800,146514
2025-08-27 12:15:00,229.9350,229.9500,229.7800,229.7913,189853
2025-08-27 12:10:00,230.0050,230.0600,229.9000,229.9322,152068
2025-08-27 12:05:00,229.9700,230.0880,229.9226,230.0100,136644
2025-08-27 12:00:00,229.9200,230.0600,229.8850,229.9616,150020
2025-08-27 11:55:00,229.8390,229.9550,229.8000,229.9150,130372
2025-08-27 11:50:00,230.0600,230.0600,229.7500,229.8300,175239
2025-08-27 11:45:00,229.7700,230.0598,229.7250,230.0500,192580
2025-08-27 11:40:00,229.8200,229.8400,229.3000,229.7850,520163
